Company,LTP,%Change ,Volume ,Buy Price,Sell Price,Buy Qty,Sell Qty
Asian Paints,"2,957.10",0.23,58856,2957.10,2965.00,12.00,12.00
Axis Bank,738.35,-0.70,110624,736.75,737.65,105.00,81.00
Bajaj Auto,"4,172.20",-0.19,10638,4170.00,4175.00,8.00,62.00
Bajaj Finance,"6,118.80",0.51,222608,6111.00,6118.80,30.00,59.00
Bajaj Finserv,"11,898.45",-0.78,16697,11898.45,11898.45,15.00,8.00
Bharti Airtel,540.90,-0.76,134930,540.90,540.90,76.00,3.00
Dr Reddys Labs,"5,451.20",3.03,63576,5451.20,5451.20,139.00,1.00
HCL Tech,983.45,1.54,288266,983.45,983.45,4.00,1.00
HDFC,"2,558.70",0.02,58646,2558.70,2561.90,1.00,10.00
HDFC Bank,"1,486.20",0.31,150626,1486.20,1486.20,258.00,20.00
HUL,"2,366.55",-0.59,74140,2366.55,2366.55,3.00,15.00
ICICI Bank,635.60,-0.71,447959,635.60,636.40,2.00,3548.00
IndusInd Bank,"1,015.45",-0.80,75108,1015.30,1015.45,38.00,44.00
Infosys,"1,446.75",1.56,639754,1445.25,1446.75,25.00,72.00
ITC,207.95,-0.69,1733856,207.95,207.95,1382.00,2775.00
Kotak Mahindra,"1,794.20",-0.30,103946,1795.45,1797.00,7.00,103.00
Larsen,"1,502.75",-1.07,64494,1505.35,1507.90,25.00,100.00
M&M,808.95,0.22,135927,808.95,808.95,5.00,3.00
Maruti Suzuki,"7,220.70",0.30,5755,7191.00,7220.70,12.00,12.00
Nestle,"17,530.00",-0.10,1613,17518.00,17584.00,7.00,1.00
NTPC,118.75,0.25,401003,118.75,118.75,10.00,88.00
ONGC,123.55,-0.28,1056345,123.55,123.55,148.00,26.00
Power Grid Corp,246.30,1.97,633866,246.30,246.80,1516.00,187.00
Reliance,"2,213.00",1.39,229252,2213.00,2215.50,389.00,35.00
SBI,429.55,-0.62,1273286,429.55,429.55,59.00,87.00
Sun Pharma,681.25,0.76,271019,681.25,681.25,2.00,1177.00
TCS,"3,271.70",1.73,110175,3271.70,3280.00,22.00,26.00
Tech Mahindra,"1,073.35",0.88,94452,1071.00,1073.35,50.00,8.00
Titan Company,"1,731.00",-0.47,42952,1728.20,1732.00,11.00,10.00
UltraTechCement,"6,661.85",-0.69,6575,6661.85,6664.00,18.00,7.00
